位号,设备名称,设备类别,所属项目,项目编号,所属部门,安装位置,规格型号,生产厂家,供应商,出厂日期,出厂编号,投用日期,资产编号,原值,净值,是否强检,强检有效期,状态,备注,介质,密度,粘度,口径,量程,填料,泄漏等级,流量特性,压力等级,执行机构型号,连接形式,法兰标准,法兰尺寸,阀体材质,阀芯材质,阀座材质,准确度,分度值,防护等级,防爆等级,电气接口尺寸,功率,电机型号,轴承,减速机,最大流量,正常流量,最小流量,操作压力,操作温度,密封件,温度,材质,阀前压力,阀后压力,压差
020200084,手动单梁起重机1台,其他,,,一系统办,,LS 25T-10米 起升高度12米,,,,,2022-06-22,020200084,297151.99,290109.49,否,,在用,数量：1台；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200085,电动单梁起重机2台,其他,,,一系统办,,LS 5T24米,,,,,2022-06-22,020200085,630149.44,615214.9,否,,在用,数量：2台；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200086,洗涤水泵6套,泵/风机,,,一系统办,,IJ150-125-450PK,,,,,2022-06-22,020200086,630375.47,615435.56,否,,在用,数量：6套；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200087,冷凝水泵6套,泵/风机,,,一系统办,,IJ150-120-400PK,,,,,2022-06-22,020200087,455947.37,445141.43,否,,在用,数量：6套；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100035,硝浆泵2台,泵/风机,,,一系统办,,AZ100-65-250PK,,,,,2022-06-22,020100035,81394.3,79465.27,否,,在用,数量：2台；原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100036,滤液泵2台,泵/风机,,,一系统办,,IJ125-100-315PK,,,,,2022-06-22,020100036,166669.96,162719.89,否,,在用,数量：2台；原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100037,冲洗水泵2台,泵/风机,,,一系统办,,IJ80-50-250PK,,,,,2022-06-22,020100037,63471.57,61967.28,否,,在用,数量：2台；原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100038,密封水泵2台,泵/风机,,,一系统办,,IJ65-40-250PK,,,,,2022-06-22,020100038,56165.49,54834.36,否,,在用,数量：2台；原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100039,精硝水泵4台,泵/风机,,,一系统办,,IJ125-80-250PK,,,,,2022-06-22,020100039,237447.62,231820.1,否,,在用,数量：4台；原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100040,硝浆泵8套,泵/风机,,,一系统办,,AZ80-50-250PK,,,,,2022-06-22,020100040,278544.32,271942.82,否,,在用,数量：8套；原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200088,电动控制阀82台,阀门,,,一系统办,,,,,,,2022-06-22,020200088,2625675.02,2563446.53,否,,在用,数量：82台；原类别：机电类；使用年限(月)：120；包含明细：电动v型球阀、R2234WB-16K  DN100、DN150、DN80、1系统蒸发离心管道、1系统干燥、无锡智能自控工程股份有限公司；包含明细：电动执行机构、DJK3100、1系统冷风机、1系统干燥、无锡智能自控工程股份有限公司；包含明细：电动旋塞调节阀、F-2-STD-RH DN40  DN50 DN100 DN150、1系统蒸发管道、1系统蒸发、安策阀门（台仓）有限公司；包含明细：单座调节阀、P2234WB-16K  DN65、1系统蒸发干燥管道、1系统蒸发、无锡智能自控工程股份有限公司；包含明细：电动套筒调节阀、M3234WB-16K  DN150  DN300、1系统蒸发管道、1系统蒸发、无锡智能自控工程股份有限公司；包含明细：电动旋塞开关阀、R1334RB-16K  DN20 DN25 DN100、1系统蒸发管道、1系统蒸发、无锡智能自控工程股份有限公司；包含明细：电磁阀、DN15、1系统蒸发管道、1系统蒸发、上海法拉自控阀门有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020500039,不锈钢加热室,锅炉/压力容器,,,一系统办,,Ф3200*8000/3000㎡,,,,,2022-06-22,020500039,3937813.69,3844487.5,否,,在用,数量：1套；原类别：蒸发系统；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020500040,不锈钢加热室4套,锅炉/压力容器,,,一系统办,,Ф2200*8000/1500㎡,,,,,2022-06-22,020500040,7729782.42,7546586.58,否,,在用,数量：4套；原类别：蒸发系统；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020500041,不锈钢预热器4套,锅炉/压力容器,,,一系统办,,Ф530*10500/800㎡,,,,,2022-06-22,020500041,5833798.05,5695537.05,否,,在用,数量：4套；原类别：蒸发系统；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020500042,蒸汽洗涤塔3套,锅炉/压力容器,,,一系统办,,Ф5500/2000*24500,,,,,2022-06-22,020500042,2065794.25,2016834.94,否,,在用,数量：3套；原类别：蒸发系统；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020500043,冷凝水闪发桶3台,锅炉/压力容器,,,一系统办,,Ф5032*6500,,,,,2022-06-22,020500043,834833.85,815048.28,否,,在用,数量：3台；原类别：蒸发系统；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200089,特种布袋除尘器,锅炉/压力容器,,,一系统办,,760㎡-5600m³/h,,,,,2022-06-22,020200089,1301395.58,1270552.49,否,,在用,数量：1台；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020500044,干燥余热回收器,其他,,,一系统办,,HRQ1100,,,,,2022-06-22,020500044,1506879.1,1471166.08,否,,在用,数量：1台；原类别：蒸发系统；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020500045,全自动卧式电热蒸汽锅炉,锅炉/压力容器,,,一系统办,,5760KW,,,,,2022-06-22,020500045,415305.01,405462.28,否,,在用,数量：1台；原类别：蒸发系统；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200090,配电柜,其他,,,一系统办,,标配,,,,,2022-06-22,020200090,233109.63,227584.92,否,,在用,数量：1套；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200091,仪表阀门2台,阀门,,,一系统办,精制控制室；精制,标配,昌辉仪表有限公司,,,,2022-06-22,020200091,3995.51,3900.83,否,,在用,数量：2台；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100041,不锈钢水泵,泵/风机,,,一系统办,,标配,,,,,2022-06-22,020100041,14840.48,14488.76,否,,在用,数量：2台；原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200092,取样器,其他,,,一系统办,,,,,,,2022-06-22,020200092,570.79,557.26,否,,在用,数量：1台；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200093,动力变压器2台,其他,,,一系统办,,3150KVA,,,,,2022-06-22,020200093,408684.71,398998.88,否,,在用,数量：2台；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200094,高压开关柜20台,其他,,,一系统办,,KYN28-12A,,,,,2022-06-22,020200094,1274449.46,1244245.01,否,,在用,数量：20台；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200095,低压开关柜17台,其他,,,一系统办,,GCS,,,,,2022-06-22,020200095,1524923.94,1488783.24,否,,在用,数量：17台；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200096,自控仪表326台,仪表,,,一系统办,,,,,,,2022-06-22,020200096,1929368.66,1883642.63,否,,在用,数量：326台；原类别：机电类；使用年限(月)：120；包含明细：温度计、WZPK-230  M27*3；WZPK-430  DN50RF、1系统车间设备及管道上面、1系统蒸发、安徽天康集团；包含明细：压力表、Y-100MFB、1系统车间设备及管道上面、1系统蒸发、安徽天康集团；包含明细：磁耦合液位计、DN50RF、1系统闪发桶本体、1系统蒸发、河北省承德克罗尼仪表有限责任公司；包含明细：射频导纳开关、L2000  BM26A/P/C/RRL/KMR/0/N/040/F/M/V/M1 量程 0～2000mm、1系统洗涤塔本体、1系统蒸发、上海平迪凯特仪器仪表有限公司；包含明细：电导率、CCT-8301A、1系统洗涤塔管道、1系统蒸发、河北科瑞达仪器科技股份有限公司；包含明细：称重仪表、PM SS 15 PM、1系统沉降桶底部、1系统干燥、梅特勒托利多常州称重设备系统有限公司；包含明细：压力变送器、EJA438E、1系统精制反应桶、硝水桶、冷凝水桶、预热桶本体、精制、上海川仪股份有限公司；包含明细：压力变送器、EJA438E、1系统干燥离心管道、1系统干燥、上海川仪股份有限公司；包含明细：压力变送器、EJA438E、1系统蒸发室、加热室本体、循环管、滤液桶、洗涤塔本体及管道、1系统蒸发、上海川仪股份有限公司；包含明细：冲洗环、DN50、1系统蒸发本体及管道、1系统蒸发、上海川仪股份有限公司；包含明细：靶式流量计、KPM05F/RRL/M9/00/ESK   DN50PN40、1系统蒸发管道、1系统蒸发、河北省承德克罗尼仪表有限责任公司；包含明细：平衡流量计、MBF4131121SG05/EJA110E DN100、 DN150、DN200、DN350、DN400、1系统蒸发管道、1系统蒸发、承德菲时博特自动化设备有限公司；包含明细：均速管流量计、KDP-P-R-120-X10DE0 量程0～180t/h DN1200、1系统蒸发管道、1系统蒸发、河北省承德克罗尼仪表有限责任公司；包含明细：电磁流量计、AXW100   DN50、DN65、DN80、DN100、DN150、1系统蒸发管道、1系统蒸发、横河川仪股份有限公司；包含明细：金属管浮子流量计、DK250/RR/M40  DN25PN40  就地  量程0～6m3/h、1系统蒸发管道、1系统蒸发、河北省承德克罗尼仪表有限责任公司；包含明细：流量开关、FB20-025HMM、1系统冷凝水管道、1系统蒸发、上海百纳控制工程技术有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200097,机旁控制柜28个,其他,,,一系统办,,,,,,,2022-06-22,020200097,8918.04,8706.69,否,,在用,数量：28个；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200098,电气自动化装置1套,其他,,,一系统办,,,,,,,2022-06-22,020200098,199964.09,195224.93,否,,在用,数量：1套；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020400038,电缆300米,其他,,,一系统办,,ZRB-YJV22-8.7/10KV-3*150,,,,,2022-06-22,020400038,33026.76,32244.03,否,,在用,数量：300米；原类别：其他；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020400039,电缆100米,其他,,,一系统办,,ZRB-YJV22-8.7/10KV-3*120,,,,,2022-06-22,020400039,28608.33,27930.3,否,,在用,数量：100米；原类别：其他；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0400034,DCS控制系统1套,仪表,,,一系统办,1系统中控室；1系统蒸发,ECS-700,浙江中控技术股份有限公司,,,,2022-06-22,0400034,644989.92,591197.76,否,,在用,数量：1套；原类别：电子设备；使用年限(月)：36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020400040,电缆360米,其他,,,一系统办,,ZRB-YJV22-8.7/10KV-3*50,,,,,2022-06-22,020400040,23970.7,23402.59,否,,在用,数量：360米；原类别：其他；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0400035,内窥式蒸发罐视频及液位监测系统,仪表,,,一系统办,1系统1-5效蒸发罐内部；1系统蒸发,,安徽大学特种电视技术研究中心,,,,2022-06-22,0400035,227857.51,208854.19,否,,在用,数量：1套；原类别：电子设备；使用年限(月)：36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100042,水泵2台,泵/风机,,,一系统办,,250S14A,,,,,2022-06-22,020100042,60722.08,59282.98,否,,在用,数量：2台；原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200099,高效率三相异步电动机2台,电机,,,一系统办,,XKK450-6 355KW10KVIP54F级二级能效标准电机,,,,,2022-06-22,020200099,261419.02,255223.39,否,,在用,数量：2台；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200100,收水器,其他,,,一系统办,,160-45,,,,,2022-06-22,020200100,18222.28,17790.4,否,,在用,数量：162米；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200101,离心风机变频器1套,泵/风机,,,一系统办,,MD480T315G,,,,,2022-06-22,020200101,77740.96,75898.51,否,,在用,数量：1套；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200102,收水器支撑架,其他,,,一系统办,,300*300,,,,,2022-06-22,020200102,11091.82,10828.93,否,,在用,数量：81米；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200103,离心风机变频器1套,泵/风机,,,一系统办,,MD480T132G,,,,,2022-06-22,020200103,34261.96,33449.95,否,,在用,数量：1套；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200104,阀门及附件1批,阀门,,,一系统办,,,,,,,2022-06-22,020200104,931351.05,909278.04,否,,在用,数量：1批；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200105,闸阀26个,阀门,,,一系统办,,,,,,,2022-06-22,020200105,26104.21,25485.55,否,,在用,数量：26个；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100043,喷射泵,泵/风机,,,一系统办,,PSV-100,,,,,2022-06-22,020100043,18090.99,17662.23,否,,在用,数量：1台；原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200106,罗茨风机,泵/风机,,,一系统办,,SR-150B-15KW,,,,,2022-06-22,020200106,17085.94,16681.0,否,,在用,数量：1台；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200107,动力变压器1台,其他,,,一系统办,,6300KVA,,,,,2022-06-22,020200107,301516.53,294370.59,否,,在用,数量：1台；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020400041,0.4KV母线桥5.6套,其他,,,一系统办,,6300KVA,,,,,2022-06-22,020400041,102085.5,99666.06,否,,在用,数量：6套；原类别：其他；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0400036,软连接6根,其他,,,一系统办,,10*250*700,,,,,2022-06-22,0400036,22548.25,20762.44,否,,在用,数量：6根；原类别：电子设备；使用年限(月)：36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0400037,软连接2根,其他,,,一系统办,,10*100*900,,,,,2022-06-22,0400037,3956.77,3626.77,否,,在用,数量：2根；原类别：电子设备；使用年限(月)：36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200108,高压变频器空水冷系统7套,其他,,,一系统办,,SAM-370T-110,,,,,2022-06-22,020200108,294167.06,287195.3,否,,在用,数量：7套；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0400038,工业监控系统,仪表,,,一系统办,1系统车间内部；1系统蒸发,,海康威视,,,,2022-06-22,0400038,355119.47,325502.51,否,,在用,数量：1套；原类别：电子设备；使用年限(月)：36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100044,废水泵1台,泵/风机,,,一系统办,,300S90,,,,,2022-06-22,020100044,41353.83,40373.73,否,,在用,数量：1台；原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100045,循环水泵2台,泵/风机,,,一系统办,,300S58B,,,,,2022-06-22,020100045,69097.54,67459.93,否,,在用,数量：2台；原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020400042,配电电力电缆,其他,,,一系统办,,,,,,,2022-06-22,020400042,551358.78,538291.59,否,,在用,数量：1套；原类别：其他；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100046,喷淋冷却塔2台,泵/风机,,,一系统办,,350S16A,,,,,2022-06-22,020100046,75379.13,73592.63,否,,在用,数量：2台；原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020500046,板式换热器,锅炉/压力容器,,,一系统办,,UC40BW-1.0/120-29,,,,,2022-06-22,020500046,285812.54,279038.78,否,,在用,数量：1台；原类别：蒸发系统；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020500047,硝水净化反应搅拌装置2套,其他,,,一系统办,,,,,,,2022-06-22,020500047,457300.07,446462.06,否,,在用,数量：2套；原类别：蒸发系统；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0400039,10KV线路保护装置4台,其他,,,一系统办,,NSR-305,,,,,2022-06-22,0400039,154284.77,142065.41,否,,在用,数量：4台；原类别：电子设备；使用年限(月)：36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200109,罗茨风机,泵/风机,,,一系统办,,LFSR-150B,,,,,2022-06-22,020200109,17762.39,17341.43,否,,在用,数量：1套；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0400040,后台软件扩容1套,其他,,,一系统办,,NS2000,,,,,2022-06-22,0400040,33061.02,30303.72,否,,在用,数量：1套；原类别：电子设备；使用年限(月)：36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200110,空气斜槽,其他,,,一系统办,,B630-6m,,,,,2022-06-22,020200110,39965.37,39018.18,否,,在用,数量：1套；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0400041,微机五防锁具1套,其他,,,一系统办,,WFBX,,,,,2022-06-22,0400041,2204.07,2020.26,否,,在用,数量：1套；原类别：电子设备；使用年限(月)：36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100047,气力提升泵,泵/风机,,,一系统办,,TL90,,,,,2022-06-22,020100047,72159.7,70449.52,否,,在用,数量：1台；原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200111,罗茨风机,泵/风机,,,一系统办,,LFSR-225,,,,,2022-06-22,020200111,69495.34,67848.31,否,,在用,数量：1套；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0400042,微机防误闭锁系统软件扩容,其他,,,一系统办,,WFBX,,,,,2022-06-22,0400042,19836.61,18182.23,否,,在用,数量：1套；原类别：电子设备；使用年限(月)：36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200112,除尘器,锅炉/压力容器,,,一系统办,,MC-200,,,,,2022-06-22,020200112,102133.73,99713.15,否,,在用,数量：1套；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020400043,电缆1批,其他,,,一系统办,,0-1KV,,,,,2022-06-22,020400043,1126499.25,1099801.23,否,,在用,数量：1批；原类别：其他；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020400044,电缆450米,其他,,,一系统办,,ZRB-YJV22-8.7/10KV-3*240,,,,,2022-06-22,020400044,236221.23,230622.78,否,,在用,数量：450米；原类别：其他；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020400045,板片60片,其他,,,一系统办,,EAC15BW,,,,,2022-06-22,020400045,11620.95,11345.52,否,,在用,数量：60片；原类别：其他；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020400046,垫片60条,其他,,,一系统办,,EAC15BW,,,,,2022-06-22,020400046,4145.85,4047.6,否,,在用,数量：30条；原类别：其他；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100048,废水泵 1台,泵/风机,,,一系统办,,300S90,,,,,2022-06-22,020100048,54021.71,52741.4,否,,在用,数量：1台；原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100049,原硝水预热泵1台,泵/风机,,,一系统办,,250S24,,,,,2022-06-22,020100049,35595.7,34752.07,否,,在用,数量：1台；原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020400047,母线桥2套,其他,,,一系统办,,2300*1000*1000+1000,,,,,2022-06-22,020400047,129604.99,126533.35,否,,在用,数量：2套；原类别：其他；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020400048,母线桥2套,其他,,,一系统办,,3400*700*500,,,,,2022-06-22,020400048,119564.91,116731.23,否,,在用,数量：2套；原类别：其他；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020500048,硝水桶1套,锅炉/压力容器,,,一系统办,,,,,,,2022-06-22,020500048,2199251.09,2147128.85,否,,在用,数量：1套；原类别：蒸发系统；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020500049,板式换热器1台,锅炉/压力容器,,,一系统办,,UC40BW-1.0/120-253,,,,,2022-06-22,020500049,238700.58,233043.39,否,,在用,数量：1台；原类别：蒸发系统；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0400027,电脑,其他,,,一系统办,1系统中控室；1系统蒸发,HP    MVR中控室,中国戴尔有限公司,,,,2020-09-27,0400027,9108.91,3031.39,否,,在用,数量：3台；原类别：电子设备；使用年限(月)：36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200011,V型调节阀,阀门,,,二系统办,2系统蒸发管道；2系统蒸发,DN150,浙江康赛特阀门有限公司,,,,2019-03-31,020200011,24827.59,8351.83,否,,在用,数量：5台；原类别：机电类；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200012,变压器整流器,其他,,,二系统办,,SG-350,,,,,2019-03-31,020200012,43103.45,14500.19,否,,在用,数量：1套；原类别：机电类；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100009,泵头,泵/风机,,,二系统办,,HZW1200F,,,,,2019-03-31,020100009,300000.0,100920.0,否,,在用,原类别：泵类；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100010,过渡环,其他,,,二系统办,,HZW1200F,,,,,2019-03-31,020100010,26724.14,8990.06,否,,在用,原类别：泵类；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100011,试压泵,泵/风机,,,二系统办,,3DY-750/31.5,,,,,2019-03-31,020100011,16508.62,5553.34,否,,在用,原类别：泵类；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020400007,减速器,其他,,,二系统办,,LF-47,,,,,2019-03-31,020400007,21465.52,7220.8,否,,在用,原类别：其他；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020400008,电机,电机,,,一系统办,,Y2-225,,,,,2019-03-31,020400008,5905.17,1986.57,否,,在用,原类别：其他；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100012,水环真空泵泵头,泵/风机,,,二系统办,,2BE1253N,,,,,2019-03-31,020100012,48275.85,16239.93,否,,在用,原类别：泵类；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020500004,干燥系统,其他,,,二系统办,,,,,,,2019-07-31,020500004,2880664.48,2022596.5,否,,在用,数量：1套；原类别：蒸发系统；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200018,工程设备螺旋输送机,其他,,,二系统办,,,,,,,2019-07-31,020200018,172212.38,120514.14,否,,在用,数量：1台；原类别：机电类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200019,空气预热IQ器,锅炉/压力容器,,,二系统办,,,,,,,2019-07-31,020200019,130769.23,52255.53,否,,在用,数量：1套；原类别：机电类；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0300011,气流提升泵输送系统,泵/风机,,,二系统办,,,,,,,2019-07-31,0300011,277225.91,110779.45,否,,在用,数量：1套；原类别：运输设备；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020500005,震动给料机,其他,,,二系统办,,,,,,,2019-07-31,020500005,12393.16,8672.58,否,,在用,数量：配1；原类别：蒸发系统；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200020,蒸发自动包装线,锅炉/压力容器,,,二系统办,,,,,,,2019-07-31,020200020,558620.68,348467.76,否,,在用,数量：2套；原类别：机电类；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200021,振动筛,其他,,,二系统办,,,,,,,2019-07-31,020200021,99572.65,39789.15,否,,在用,数量：1台；原类别：机电类；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020500012,冷凝器,锅炉/压力容器,,,二系统办,,,,,,,2019-07-31,020500012,33871.84,21129.3,否,,在用,数量：1台；原类别：蒸发系统；使用年限(月)：96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200023,流程泵,泵/风机,,,二系统办,,,,,,,2019-07-31,020200023,524786.33,209704.77,否,,在用,数量：1套；原类别：机电类；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020400024,复合硅酸盐保温板,其他,,,二系统办,,,,,,,2019-07-31,020400024,362393.17,144812.39,否,,在用,数量：1批；原类别：其他；使用年限(月)：60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020100016,冷却塔,泵/风机,,,二系统办,,,,,,,2019-07-31,020100016,55128.21,38578.83,否,,在用,数量：1套；原类别：泵类；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020500014,预热器制作,锅炉/压力容器,,,二系统办,,1200㎡,,,,,2021-03-26,020500014,1413044.05,1235601.19,否,,在用,原类别：蒸发系统；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020400011,电缆,其他,,,二系统办,,,,,,,2019-07-31,020400011,130305.55,91187.97,否,,在用,数量：1550米；原类别：其他；使用年限(月)：120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
